GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2010,2010,2010,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,3304.8436,3304.8,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2020,2020,2020,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,15928.0,15 928 [13 714-18 501],13714.0,18501.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2023,2023,2023,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,1580.0,1580 [595-3149],595.0,3149.0
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2018,2018,2018,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,37.740376252,37.7 [33.7-42.3],33.650989585,42.313778488
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,2012,2012,2012,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,2560.0,2560 [2201-2971],2201.0,2971.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2019,2019,2019,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,3373.0,3373 [1649-5545],1649.0,5545.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2005,2005,2005,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-between-ages-30-and-70-years-from-cardiovascular-diseases-cancer-diabetes-or-chronic-respiratory-diseases-%28sdg-3.4.1%29,2020,2020,2020,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,22.8,22.8 [15.0-34.2],15.0,34.2
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2008,2008,2008,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.05003,0.1,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2000,2000,2000,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,6.896356306,6.9 [4.5-9.8],4.475887102,9.79602346
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2005,2005,2005,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,2598.24285,2598.2,,
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-14-years,2004,2004,2004,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,9267.0,9267 [8296-10 370],8296.0,10370.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2016,2016,2016,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.01404,0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2004,2004,2004,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.10668,0.1,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2001,2001,2001,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,4.69359,4.7,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2010,2010,2010,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,9e-05,0,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1991,1991,1991,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,115.330283247,115.3 [108.6-122.5],108.606865018,122.51482603
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008,2008,2008,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,1090.1845,1090.2,,
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,2001,2001,2001,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,23601.0,23 601 [22 217-25 051],22217.0,25051.0
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-mortality-rate-%28per-1000-live-births%29,2019,2019,2019,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,22.964692275,23.0 [20.2-25.9],20.226294995,25.889850202
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2008,2008,2008,AFR,Africa,GHA,Ghana,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,6.56603,6.6,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2000,2000,2000,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,9.319732567,9.3 [7.1-12.1],7.099671147,12.105099276
