DISTRICT,REGION,tvi_pca,tvi_equal,tvi_pca_lisa_label,tvi_pca_gi_star,tvi_pca_gi_p,tvi_equal_lisa_label,tvi_equal_gi_star,tvi_equal_gi_p
KRACHI NCHUMURU,OTI,0.8041502367829001,0.4968640523981002,High-High,-0.7200150480996654,0.046,High-High,-0.8472760624318197,0.013
KWABRE EAST,ASHANTI,-1.5148523466862884,-0.6064277037958836,Low-Low,0.6880610957979714,0.038,Low-Low,0.7300310907035356,0.019
AGOTIME ZIOPE,VOLTA,-0.4432337869874482,-0.2513649162467722,Not significant,-0.06255337352307155,0.409,Not significant,-0.04461534732402247,0.37
ADAKLU,VOLTA,0.3830541228037494,0.0891529181141367,Not significant,0.13114525164414473,0.361,Not significant,0.23043626630680875,0.322
EJURA-SEKYEDUMASE,ASHANTI,-0.0566553528017038,-0.0230193314169587,Not significant,0.13139723187555244,0.35,Not significant,0.17996678621277581,0.284
ATWIMA NWABIAGYA SOUTH,ASHANTI,-1.5201080931372164,-0.6220677529934646,Not significant,0.5741285279924973,0.074,Not significant,0.6005484842871018,0.056
AKATSI SOUTH,VOLTA,0.5042531119967606,0.2077330849699944,Not significant,-0.2970200095312336,0.253,Not significant,-0.34634048249811994,0.17
ATWIMA MPONUA,ASHANTI,-0.5947670760010274,-0.3294877799137772,Not significant,0.25601806377395214,0.241,Not significant,0.267144502735122,0.239
AKATSI NORTH,VOLTA,1.149740634171895,0.6351104335755023,Not significant,-0.21280499553530627,0.437,Not significant,-0.28363718678511995,0.402
HO MUNICIPAL,VOLTA,-2.0641245178050034,-0.9267054838049308,Not significant,0.3812124489476683,0.467,Not significant,0.5096612583252392,0.499
ADANSI SOUTH,ASHANTI,-0.0184450994656231,0.1311562961053857,Not significant,0.05878261003417163,0.469,Not significant,-0.14573449500394292,0.37
HOHOE MUNICIPAL,VOLTA,-1.0984537543952122,-0.516794896068353,Not significant,0.2599916903869151,0.376,Not significant,0.29539029836434716,0.392
ADANSI ASOKWA,ASHANTI,0.1234199208021841,0.2431283872440363,Not significant,0.24289647939589307,0.255,Not significant,0.14676047328733693,0.295
BOSOME FREHO,ASHANTI,-0.5764927751367712,-0.0812023789364777,Not significant,0.36626339829776366,0.156,Not significant,0.3134881350361021,0.163
AFADZATO SOUTH,VOLTA,0.2315684786371754,0.0761672187528442,Not significant,0.16148779986041553,0.33,Not significant,0.25963522132126343,0.273
AHAFO ANO SOUTH EAST,ASHANTI,0.1854027901618978,0.0468484156773174,Not significant,0.2872359728258099,0.185,Not significant,0.34939294137594784,0.13
NORTH DAYI,VOLTA,-0.0651364738899929,-0.0979031767155867,Not significant,0.053718575963564406,0.492,Not significant,0.14298554426501484,0.449
BEKWAI MUNICIPAL,ASHANTI,-0.6759061592465321,-0.2612431631328566,Not significant,0.3401095562864743,0.208,Not significant,0.2784315816806964,0.269
KPANDO MUNICIPAL,VOLTA,-0.7239495021792601,-0.3659348226487871,Not significant,0.18916229276842145,0.41,Not significant,0.25632760766349477,0.388
BOSOMTWE,ASHANTI,-0.9467147630756744,-0.3467525774723036,Low-Low,0.7855285720343433,0.008,Low-Low,0.7969544777108349,0.005
NORTH TONGU,VOLTA,1.2729381457205629,0.5908770550057295,Not significant,-0.4589448934204584,0.249,Not significant,-0.5797782811567551,0.144
CENTRAL TONGU,VOLTA,1.1393229384575456,0.4303142813733653,Not significant,-0.3353748305822843,0.308,Not significant,-0.3384520212345255,0.227
MAMPONG MUNICIPAL,ASHANTI,-0.6979809467671592,-0.2558979681770286,Not significant,0.12374806501063786,0.473,Not significant,0.05700727074704031,0.441
AJUMAKO-ENYAN-ESSIAM,CENTRAL,0.1550335718421105,0.165032859438889,Not significant,-0.11647871834951407,0.404,Not significant,-0.2932687333759392,0.203
GOMOA WEST,CENTRAL,0.5688630197791724,0.4305955442972882,Not significant,0.06191796146585282,0.403,Not significant,-0.16689510249029638,0.358
AGONA WEST MUNICIPAL,CENTRAL,-0.7818256755457106,-0.2137971053455403,Not significant,0.22625503841441424,0.377,Not significant,0.0007912082746970089,0.408
AGONA EAST,CENTRAL,-0.2955937719520016,0.1535388285387212,Not significant,0.4135761258926609,0.239,Not significant,0.15471012241668533,0.351
ASSIN NORTH,CENTRAL,-0.510279460051933,-0.0588464508419198,Not significant,0.16614783298060218,0.381,Not significant,0.04517863732906419,0.494
ASSIN SOUTH,CENTRAL,-0.5101429177854282,-0.1654243383413806,Not significant,0.1530307253351943,0.395,Not significant,0.021460643390333507,0.447
ASIKUMA-ODOBEN-BRAKWA,CENTRAL,-0.3747698515627947,-0.1057165436251102,Not significant,0.2148067513876187,0.317,Not significant,0.08024163232446159,0.47
EFFUTU MUNICIPAL,CENTRAL,-0.5587669837884925,-0.1351927220525682,Not significant,0.5744719694731517,0.114,Not significant,0.350997423825589,0.268
GOMOA EAST,CENTRAL,-1.2262048680007915,-0.2723388987610085,Not significant,0.4866901206327521,0.108,Not significant,0.24965827708606095,0.29
ABURA-ASEBU-KWAMANKESE,CENTRAL,0.2537316386435326,0.1529133223745826,Not significant,0.18526674148015845,0.299,Not significant,0.04634563344360073,0.444
JOMORO,WESTERN,0.0809489491462126,0.037533197539351,Not significant,0.15769893714335698,0.37,Not significant,0.1900714730223004,0.359
ELLEMBELLE,WESTERN,-0.0301792513759801,-0.018803421886202,Not significant,0.06499303109013717,0.459,Not significant,-0.0014372740149856263,0.45
DORMAA WEST,BONO,-1.2541545119246753,-0.6396538306637636,Not significant,0.4243864552528316,0.367,Not significant,0.562499666973694,0.321
NADOWLI-KALEO,UPPER WEST,2.789612121764369,0.8912934007654192,High-High,-1.4187429085464927,0.013,High-High,-1.228594168792139,0.016
PRESTEA/HUNI VALLEY,WESTERN,-0.1465596197100825,0.1490093999810568,Not significant,0.05308787135741321,0.458,Not significant,-0.14519901358754123,0.319
AHANTA WEST MUNICIPAL,WESTERN,0.0039221488938272,0.1876017876666088,Not significant,0.5035768485099774,0.066,Not significant,0.3925421020510872,0.106
DAFFIAMA BUSSIE ISSA,UPPER WEST,2.2435270282920667,0.7703883158155951,High-High,-1.117268462420166,0.01,High-High,-0.8985628147754186,0.013
NZEMA EAST,WESTERN,0.1107338879753028,0.2024091697461008,Not significant,0.09416414796194807,0.406,Not significant,-0.06845514260134264,0.439
LAWRA,UPPER WEST,2.358032855135086,0.6402758951057028,High-High,-1.4364438414092249,0.022,High-High,-1.0994438343608204,0.036
NANDOM,UPPER WEST,1.5977653812268595,0.3451049703979033,High-High,-1.2582694468755866,0.041,Not significant,-0.897738538743883,0.067
TARKWA NSUAEM,WESTERN,-1.2502281061175489,-0.4666251881501121,Not significant,0.14114255038862342,0.49,Not significant,-0.07959554176678085,0.261
TALENSI,UPPER EAST,3.861670517387509,1.3764541684210765,High-High,-1.5306894107506377,0.002,High-High,-1.2978504335891656,0.002
SEFWI AKONTOMBRA,WESTERN NORTH,-0.4293058067206998,-0.2605844179151764,Not significant,0.17701620746728822,0.363,Not significant,0.17644474473318922,0.413
EFFIA KWESIMINTSIM MUNICIPAL,WESTERN,-2.2855701157942603,-0.9038673293210568,Not significant,0.6022142962906019,0.251,Not significant,0.4965041640626172,0.366
NABDAM,UPPER EAST,5.345939704685836,1.9833755766342196,High-High,-1.8853313808612704,0.006,High-High,-1.6739776139427813,0.007
BUILSA SOUTH,UPPER EAST,3.808350338166218,1.3605683450604156,High-High,-1.2509927207160723,0.018,High-High,-1.1162572208155228,0.019
BUILSA NORTH,UPPER EAST,2.289661627296692,0.6902867671441046,High-High,-1.3960064474430416,0.04,Not significant,-1.1878045659878957,0.051
BINDURI,UPPER EAST,4.244740877777323,1.437755980391087,High-High,-1.715420898241753,0.019,High-High,-1.4350933018635603,0.029
PUSIGA,UPPER EAST,3.251384586189305,0.9781245109768912,High-High,-1.5942421049295175,0.034,Not significant,-1.277784948438676,0.061
BAWKU MUNICIPAL,UPPER EAST,1.12798600860472,0.1862985546824052,High-High,-1.8247584023571073,0.002,High-High,-1.5419684802425149,0.002
NORTH GONJA,SAVANNAH,4.552260436735496,2.0155340862991653,High-High,-1.9363851568562294,0.001,High-High,-2.0512242176864803,0.001
WEST GONJA,SAVANNAH,2.219819282137765,0.6396855737860045,High-High,-1.9645870108970251,0.001,High-High,-2.0395559810718074,0.001
MION,NORTHERN,3.4387962753097114,1.3445965314340178,High-High,-1.5116865551757508,0.001,High-High,-1.566548434349017,0.001
YENDI MUNICIPAL,NORTHERN,2.430665448783131,0.8376191671661917,High-High,-1.376102560131379,0.01,High-High,-1.3248638779274446,0.005
TOLON,NORTHERN,4.431878176625472,1.8961064967147447,High-High,-1.7817411675293344,0.003,High-High,-1.8670741538879092,0.001
KUMBUNGU,NORTHERN,3.766316284026805,1.4839441210379285,High-High,-1.8978391261074696,0.001,High-High,-2.0348904386430293,0.001
WEST MAMPRUSI MUNICIPAL,NORTHERN EAST,3.116322450137782,1.0232237149997172,High-High,-1.8066673194762066,0.001,High-High,-1.755022211603745,0.001
MAMPRUGU MOAGDURI,NORTHERN EAST,2.0055779216554366,0.9957330807659556,High-High,-1.6333901061246174,0.001,High-High,-1.63443508449101,0.001
ZABZUGU,NORTHERN,2.7081820101707264,1.0517894942882642,High-High,-1.3506236700277041,0.017,High-High,-1.3452153805350284,0.005
TATALE SANGULI,NORTHERN,2.778796652612156,1.1529290487585582,Not significant,-1.436711638576931,0.139,Not significant,-1.3910990635302964,0.136
SENE EAST,BONO EAST,1.2648926851932871,0.5087791429772707,Not significant,-0.524885687450578,0.126,Not significant,-0.6005157870844162,0.05
BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,WESTERN NORTH,-1.2260010651440514,-0.7063527688041212,Not significant,0.19071482270988746,0.411,Not significant,0.13983608901886424,0.467
SENE WEST,BONO EAST,-0.3553292063642634,-0.3353215351529981,Not significant,-0.5682930245021648,0.084,Not significant,-0.5822615913772659,0.04
UPPER DENKYIRA EAST MUNICIPAL,CENTRAL,-0.4371409592213413,-0.1784703454973773,Not significant,0.05751522657848017,0.496,Not significant,-0.11198542932306839,0.316
ASUTIFI NORTH,AHAFO,-0.5255935047515108,-0.3524779908654664,Not significant,0.5384166176128584,0.073,Low-Low,0.7725423124931466,0.019
AHAFO ANO NORTH,ASHANTI,-1.043775263890663,-0.4365830369747221,Not significant,0.3585389045399954,0.278,Not significant,0.4774459912863161,0.203
AMANSIE CENTRAL,ASHANTI,-0.3631204424337886,-0.1229756241598309,Not significant,0.2726087987638965,0.23,Not significant,0.1704761172343183,0.349
AMANSIE WEST,ASHANTI,0.4008349338629061,0.3005596649200978,Not significant,0.3242538002779196,0.153,Not significant,0.2834025933425024,0.144
ASUTIFI SOUTH,AHAFO,-0.5139187071943183,-0.3049946274793652,Not significant,0.35375001472204315,0.168,Not significant,0.4573377028140196,0.088
